id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lester;O'Connell;Alexandrine2@gmail.com;so;2024-06-01T10:26:02;88;10116
2;Jarod;Hammes;Winifred.Gutkowski53@hotmail.com;heavily upon;2024-06-02T02:14:09;15984;6618
3;Loy;Kilback;Gerald_Kuhn5@hotmail.com;meh between fortunately;2024-06-02T05:10:22;716;26731
4;Ray;O'Reilly;Rylan43@yahoo.com;meanwhile mysteriously revere;2024-06-01T20:56:57;25790;30869
5;Amani;Stiedemann;Terrell.McClure-Torp@yahoo.com;fake;2024-06-01T07:47:06;21511;25091
6;Mandy;Runte;Meaghan_OHara@yahoo.com;eventually spat;2024-06-01T19:09:50;19444;2491
7;Mercedes;Weissnat;Troy_Tremblay@yahoo.com;upside-down rain whether;2024-06-01T18:54:09;9803;277
8;Will;Maggio;Zackery19@yahoo.com;circa and;2024-06-02T07:36:18;16202;21683
9;Israel;Wiegand;Dannie.Buckridge@hotmail.com;amongst;2024-06-01T19:02:57;3683;19630
10;Fanny;Lubowitz;Eusebio19@gmail.com;briskly why;2024-06-02T04:12:36;5962;30788
